condition,coherence,time,invtime,stimulus,decision
3,0.72,18,4,1,1
3,0.72,19,3,1,1
3,0.72,20,2,0,1
3,0.72,21,1,1,1
3,0.72,1,28,1,1
3,0.72,2,27,1,1
3,0.72,3,26,0,1
3,0.72,4,25,0,1
3,0.72,5,24,0,1
3,0.72,6,23,1,1
3,0.72,7,22,1,1
3,0.72,8,21,1,1
3,0.72,9,20,1,1
3,0.72,10,19,1,1
3,0.72,11,18,1,1
3,0.72,12,17,1,1
3,0.72,13,16,1,1
3,0.72,14,15,1,1
3,0.72,15,14,1,1
3,0.72,16,13,0,1
3,0.72,17,12,1,1
3,0.72,18,11,0,1
3,0.72,19,10,1,1
3,0.72,20,9,1,1
3,0.72,21,8,1,1
3,0.72,22,7,1,1
3,0.72,23,6,0,1
3,0.72,24,5,1,1
3,0.72,25,4,1,1
3,0.72,26,3,1,1
3,0.72,27,2,0,1
3,0.72,28,1,1,1
3,0.72,1,24,1,1
3,0.72,2,23,0,1
3,0.72,3,22,1,1
3,0.72,4,21,1,1
3,0.72,5,20,1,1
3,0.72,6,19,1,1
3,0.72,7,18,0,1
3,0.72,8,17,1,1
3,0.72,9,16,1,1
3,0.72,10,15,1,1
3,0.72,11,14,1,1
3,0.72,12,13,1,1
3,0.72,13,12,1,1
3,0.72,14,11,0,1
3,0.72,15,10,1,1
3,0.72,16,9,0,1
3,0.72,17,8,1,1
3,0.72,18,7,1,1
3,0.72,19,6,1,1
3,0.72,20,5,1,1
3,0.72,21,4,0,1
3,0.72,22,3,1,1
3,0.72,23,2,1,1
3,0.72,24,1,1,1
3,0.28,1,24,0,0
3,0.28,2,23,0,0
3,0.28,3,22,0,0
3,0.28,4,21,0,0
3,0.28,5,20,0,0
3,0.28,6,19,1,0
3,0.28,7,18,0,0
3,0.28,8,17,0,0
3,0.28,9,16,1,0
3,0.28,10,15,0,0
3,0.28,11,14,1,0
3,0.28,12,13,0,0
3,0.28,13,12,1,0
3,0.28,14,11,1,0
3,0.28,15,10,0,0
3,0.28,16,9,1,0
3,0.28,17,8,1,0
3,0.28,18,7,0,0
3,0.28,19,6,0,0
3,0.28,20,5,0,0
3,0.28,21,4,0,0
3,0.28,22,3,0,0
3,0.28,23,2,0,0
3,0.28,24,1,1,0
3,0.72,1,25,1,1
3,0.72,2,24,1,1
3,0.72,3,23,1,1
3,0.72,4,22,1,1
3,0.72,5,21,0,1
3,0.72,6,20,1,1
3,0.72,7,19,1,1
3,0.72,8,18,1,1
3,0.72,9,17,1,1
3,0.72,10,16,0,1
3,0.72,11,15,1,1
3,0.72,12,14,0,1
3,0.72,13,13,0,1
3,0.72,14,12,1,1
3,0.72,15,11,1,1
3,0.72,16,10,0,1
3,0.72,17,9,0,1
3,0.72,18,8,1,1
3,0.72,19,7,0,1
3,0.72,20,6,1,1
3,0.72,21,5,1,1
3,0.72,22,4,0,1
3,0.72,23,3,1,1
3,0.72,24,2,1,1
3,0.72,25,1,1,1
3,0.28,1,31,1,0
3,0.28,2,30,1,0
3,0.28,3,29,0,0
3,0.28,4,28,1,0
3,0.28,5,27,1,0
3,0.28,6,26,0,0
3,0.28,7,25,0,0
3,0.28,8,24,1,0
3,0.28,9,23,0,0
3,0.28,10,22,0,0
3,0.28,11,21,0,0
3,0.28,12,20,1,0
3,0.28,13,19,1,0
3,0.28,14,18,1,0
3,0.28,15,17,0,0
3,0.28,16,16,1,0
3,0.28,17,15,0,0
3,0.28,18,14,0,0
3,0.28,19,13,0,0
3,0.28,20,12,1,0
3,0.28,21,11,0,0
3,0.28,22,10,0,0
3,0.28,23,9,0,0
3,0.28,24,8,0,0
3,0.28,25,7,1,0
3,0.28,26,6,0,0
3,0.28,27,5,1,0
3,0.28,28,4,0,0
3,0.28,29,3,0,0
3,0.28,30,2,0,0
3,0.28,31,1,0,0
3,0.28,1,13,1,0
3,0.28,2,12,1,0
3,0.28,3,11,1,0
3,0.28,4,10,0,0
3,0.28,5,9,0,0
3,0.28,6,8,0,0
3,0.28,7,7,0,0
3,0.28,8,6,0,0
3,0.28,9,5,0,0
3,0.28,10,4,1,0
3,0.28,11,3,0,0
3,0.28,12,2,0,0
3,0.28,13,1,1,0
3,0.28,1,12,0,0
3,0.28,2,11,0,0
3,0.28,3,10,0,0
3,0.28,4,9,0,0
3,0.28,5,8,1,0
3,0.28,6,7,1,0
3,0.28,7,6,0,0
3,0.28,8,5,0,0
3,0.28,9,4,0,0
3,0.28,10,3,0,0
3,0.28,11,2,0,0
3,0.28,12,1,0,0
3,0.72,1,19,0,1
3,0.72,2,18,0,1
3,0.72,3,17,1,1
3,0.72,4,16,1,1
3,0.72,5,15,1,1
3,0.72,6,14,1,1
3,0.72,7,13,1,1
3,0.72,8,12,0,1
3,0.72,9,11,1,1
3,0.72,10,10,1,1
3,0.72,11,9,1,1
3,0.72,12,8,0,1
3,0.72,13,7,1,1
3,0.72,14,6,0,1
3,0.72,15,5,1,1
3,0.72,16,4,0,1
3,0.72,17,3,1,1
3,0.72,18,2,1,1
3,0.72,19,1,1,1
3,0.72,1,15,1,1
3,0.72,2,14,1,1
3,0.72,3,13,0,1
3,0.72,4,12,0,1
3,0.72,5,11,0,1
3,0.72,6,10,1,1
3,0.72,7,9,1,1
3,0.72,8,8,0,1
3,0.72,9,7,1,1
3,0.72,10,6,1,1
3,0.72,11,5,1,1
3,0.72,12,4,1,1
3,0.72,13,3,1,1
3,0.72,14,2,1,1
3,0.72,15,1,1,1
3,0.5,1,27,1,0
3,0.5,2,26,0,0
3,0.5,3,25,1,0
3,0.5,4,24,0,0
3,0.5,5,23,1,0
3,0.5,6,22,1,0
3,0.5,7,21,1,0
3,0.5,8,20,0,0
3,0.5,9,19,0,0
3,0.5,10,18,1,0
3,0.5,11,17,1,0
3,0.5,12,16,0,0
3,0.5,13,15,0,0
3,0.5,14,14,0,0
3,0.5,15,13,0,0
3,0.5,16,12,0,0
3,0.5,17,11,0,0
3,0.5,18,10,0,0
3,0.5,19,9,0,0
3,0.5,20,8,1,0
3,0.5,21,7,1,0
3,0.5,22,6,0,0
3,0.5,23,5,0,0
3,0.5,24,4,0,0
3,0.5,25,3,1,0
3,0.5,26,2,1,0
3,0.5,27,1,0,0
3,0.5,1,38,1,1
3,0.5,2,37,1,1
3,0.5,3,36,1,1
3,0.5,4,35,1,1
3,0.5,5,34,0,1
3,0.5,6,33,1,1
3,0.5,7,32,1,1
3,0.5,8,31,1,1
3,0.5,9,30,0,1
3,0.5,10,29,1,1
3,0.5,11,28,1,1
3,0.5,12,27,0,1
3,0.5,13,26,1,1
3,0.5,14,25,0,1
3,0.5,15,24,1,1
3,0.5,16,23,0,1
3,0.5,17,22,0,1
3,0.5,18,21,0,1
3,0.5,19,20,1,1
3,0.5,20,19,1,1
3,0.5,21,18,0,1
3,0.5,22,17,0,1
3,0.5,23,16,1,1
3,0.5,24,15,0,1
3,0.5,25,14,1,1
3,0.5,26,13,1,1
3,0.5,27,12,1,1
3,0.5,28,11,0,1
3,0.5,29,10,1,1
3,0.5,30,9,1,1
3,0.5,31,8,1,1
3,0.5,32,7,0,1
3,0.5,33,6,1,1
3,0.5,34,5,0,1
3,0.5,35,4,1,1
3,0.5,36,3,1,1
3,0.5,37,2,0,1
3,0.5,38,1,1,1
3,0.72,1,21,1,1
3,0.72,2,20,1,1
3,0.72,3,19,1,1
3,0.72,4,18,0,1
3,0.72,5,17,1,1
3,0.72,6,16,0,1
3,0.72,7,15,0,1
3,0.72,8,14,1,1
3,0.72,9,13,0,1
3,0.72,10,12,1,1
3,0.72,11,11,1,1
3,0.72,12,10,1,1
3,0.72,13,9,1,1
3,0.72,14,8,1,1
3,0.72,15,7,0,1
3,0.72,16,6,1,1
3,0.72,17,5,1,1
3,0.72,18,4,1,1
3,0.72,19,3,1,1
3,0.72,20,2,1,1
3,0.72,21,1,1,1
3,0.72,1,12,0,1
3,0.72,2,11,0,1
3,0.72,3,10,1,1
3,0.72,4,9,1,1
3,0.72,5,8,1,1
3,0.72,6,7,1,1
3,0.72,7,6,1,1
3,0.72,8,5,1,1
3,0.72,9,4,1,1
3,0.72,10,3,1,1
3,0.72,11,2,1,1
3,0.72,12,1,1,1
3,0.28,1,22,0,0
3,0.28,2,21,0,0
3,0.28,3,20,1,0
3,0.28,4,19,0,0
3,0.28,5,18,0,0
3,0.28,6,17,1,0
3,0.28,7,16,1,0
3,0.28,8,15,0,0
3,0.28,9,14,0,0
3,0.28,10,13,0,0
3,0.28,11,12,1,0
3,0.28,12,11,1,0
3,0.28,13,10,0,0
3,0.28,14,9,0,0
3,0.28,15,8,0,0
3,0.28,16,7,1,0
3,0.28,17,6,0,0
3,0.28,18,5,0,0
3,0.28,19,4,0,0
3,0.28,20,3,0,0
3,0.28,21,2,0,0
3,0.28,22,1,0,0
3,0.72,1,14,0,1
3,0.72,2,13,0,1
3,0.72,3,12,1,1
3,0.72,4,11,0,1
3,0.72,5,10,1,1
3,0.72,6,9,1,1
3,0.72,7,8,0,1
3,0.72,8,7,0,1
3,0.72,9,6,1,1
3,0.72,10,5,1,1
3,0.72,11,4,1,1
3,0.72,12,3,1,1
3,0.72,13,2,1,1
3,0.72,14,1,1,1
3,0.5,1,16,1,1
3,0.5,2,15,1,1
3,0.5,3,14,1,1
3,0.5,4,13,1,1
3,0.5,5,12,0,1
3,0.5,6,11,0,1
3,0.5,7,10,0,1
3,0.5,8,9,1,1
3,0.5,9,8,1,1
3,0.5,10,7,1,1
3,0.5,11,6,0,1
3,0.5,12,5,0,1
3,0.5,13,4,1,1
3,0.5,14,3,1,1
3,0.5,15,2,1,1
3,0.5,16,1,1,1
3,0.5,1,65,0,1
3,0.5,2,64,1,1
3,0.5,3,63,1,1
3,0.5,4,62,1,1
3,0.5,5,61,1,1
3,0.5,6,60,0,1
3,0.5,7,59,0,1
3,0.5,8,58,0,1
3,0.5,9,57,1,1
3,0.5,10,56,1,1
3,0.5,11,55,1,1
3,0.5,12,54,1,1
3,0.5,13,53,0,1
3,0.5,14,52,0,1
3,0.5,15,51,0,1
3,0.5,16,50,0,1
3,0.5,17,49,1,1
3,0.5,18,48,0,1
3,0.5,19,47,0,1
3,0.5,20,46,0,1
3,0.5,21,45,1,1
3,0.5,22,44,0,1
3,0.5,23,43,0,1
3,0.5,24,42,1,1
3,0.5,25,41,1,1
3,0.5,26,40,0,1
3,0.5,27,39,1,1
3,0.5,28,38,0,1
3,0.5,29,37,0,1
3,0.5,30,36,0,1
3,0.5,31,35,0,1
3,0.5,32,34,1,1
3,0.5,33,33,0,1
3,0.5,34,32,0,1
3,0.5,35,31,1,1
3,0.5,36,30,1,1
3,0.5,37,29,1,1
3,0.5,38,28,0,1
3,0.5,39,27,1,1
3,0.5,40,26,0,1
3,0.5,41,25,0,1
3,0.5,42,24,1,1
3,0.5,43,23,1,1
3,0.5,44,22,0,1
3,0.5,45,21,1,1
3,0.5,46,20,0,1
3,0.5,47,19,0,1
3,0.5,48,18,0,1
3,0.5,49,17,1,1
3,0.5,50,16,0,1
3,0.5,51,15,1,1
3,0.5,52,14,1,1
3,0.5,53,13,1,1
3,0.5,54,12,0,1
3,0.5,55,11,1,1
3,0.5,56,10,1,1
3,0.5,57,9,0,1
3,0.5,58,8,0,1
3,0.5,59,7,0,1
3,0.5,60,6,0,1
3,0.5,61,5,1,1
3,0.5,62,4,0,1
3,0.5,63,3,0,1
